Time|C2|C#/Db2|D2|D#/Eb2|E2|F2|F#/Gb2|G2|G#/Ab2|A2|A#/Bb2|B2|C3|C#/Db3|D3|D#/Eb3|E3|F3|F#/Gb3|G3|G#/Ab3|A3|A#/Bb3|B3|C4|C#/Db4|D4|D#/Eb4|E4|F4|F#/Gb4|G4
31.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|""|""|""|1.125|""|""|""|""|""
32.625|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|0.375|""|""
33|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|0.375|""|""|""
33.375|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|0.375|""|""|""|""|""
33.75|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|4.5|""|""|""|""|""|""|""|""|0.75|""|""|""
34.875|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|1.125|""|""|1.875
36|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
36.375|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|0.375|""|""|1.875
36.75|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|3.75|""|""|""|""|""|0.375|""|""|0.375|""
37.125|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|2.25|""|""|""|""|""|""|""|""|1.125|""|""|4.125
38.25|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|9|""|""|""|""|1.125|""|""|""|1.125|""|""|""
39.375|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|5.625|""|""|""|""|""|""|1.125|""|""|""
40.5|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""
40.875|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|2.625
41.25|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
41.625|""|""|""|""|""|""|""|""|""|""|""|""|1.875|""|""|""|""|""|""|""|""|""|""|""|1.875|""|""|""|1.875|""|""|4.125
43.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|2.25|""|""|""|""|1.125|""|""|""|1.125|""
45|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|0.375|""|0.375|""|""|""|""|""
45.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|0.375|""|""|0.375|""|""|""|""|1.875
45.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|4.125|""|""|""|""|0.375|""|""|""|0.375|""
46.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|2.25|""|""|""|1.125|""|""|1.125|""|""|""|""|2.25
47.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|5.25|""|""|""|""|""|""|1.125|""|""|""|""|3.375
48.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|1.125|""
49.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|0.375|""
49.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|5.25|""|""|""|""|""|""|""|""|0.375|""
50.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|0.375|""
50.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|3.375|""|""|""|1.125|""|""|""|""|""|""|""|1.875
51.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""
52.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|1.125|""|""|1.125|""|""|1.125|""|""
54|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|0.375|""|""|0.375|""|""
54.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|""|""|""|0.375|""|""
