Time|C2|C#/Db2|D2|D#/Eb2|E2|F2|F#/Gb2|G2|G#/Ab2|A2|A#/Bb2|B2|C3|C#/Db3|D3|D#/Eb3|E3|F3|F#/Gb3|G3|G#/Ab3|A3|A#/Bb3|B3|C4|C#/Db4|D4|D#/Eb4|E4|F4|F#/Gb4|G4
131.625|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|4.5|""|""|""|""|""|""|""|""|1.125|""|""|""
132.75|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.75
133.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|0.75
133.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|9
133.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""
135|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""
136.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|""|""|""|1.125|""|""|""|""|""
137.25|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|0.375|""|""
137.625|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|0.375|""|""|""
138|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|0.375|""|""|""|""|""
138.375|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|2.625|""|""|""|""|""|""|""|""|0.75|""|""|""
139.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
140.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|0.375|""|""|""|""|3.375
141|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|""|""|""
141.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""
141.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""
142.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|""|""|""|""|""|""|""|""|""
142.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|14.25|""|""|""|1.125|""|""|1.125|""|""|""|""|4.125
144|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
145.125|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|0.375|""|""|""
145.5|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
145.875|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
146.25|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
147|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
147.375|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
149.625|""|""|""|""|""|2.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
150.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|3
151.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""
151.875|1.875|""|""|""|""|""|""|""|""|""|""|""|1.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""
152.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""
153.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""
154.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
155.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""|""
156.375|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|""|""|2.625|""|""|""|0.75|""|""|""|""|""|0.75|""|""
157.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
158.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|0.375|""|""|""|""|3.375
159|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|""|""|""
159.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""
159.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""
160.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|""|""|""|""|""|""|""|""|""
160.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|20.25|""|""|""|1.125|""|""|1.125|""|""|""|""|4.125
162|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
163.125|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|0.375|""|""|""
163.5|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
163.875|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
164.25|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
165|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
165.375|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
167.625|4.5|""|""|""|""|""|""|""|""|""|""|""|4.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|4.125
168.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""
169.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""
169.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""
169.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.875|""|""|""
172.125|""|""|""|""|""|""|""|3.375|""|""|""|3.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|2.25
173.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""
174|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""
174.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""
176.625|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|2.25
177.75|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""
178.5|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0
178.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|6|""|""|""|""|""|""|""|0.375|""|""
179.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|""|""|""|1.5|""|""|""|""|1.5|""|""
181.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|1.125|""|""|""|""|""
182.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|0.75|""|""|""
183|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|""|0.375|""|""
183.375|""|""|""|""|""|""|""|""|""|""|""|""|2.25|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|0.375|""|""|""
183.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""|""|""
184.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|""|""|""|""|""|""|""|""|""
184.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0|""|""|""|""|""|""|""|""|""|""
184.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|""|""
185.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0|""|""|""|""|""|""|""|""|""|""|""|""
